feature	score	p-value	c11	c10	c01	c00
urde@	21720.05	0.0	247.0	203.0	1011.0	203399.0
wurde@	21720.05	0.0	247.0	203.0	1011.0	203399.0
$war@	19402.44	0.0	279.0	360.0	979.0	203242.0
war@	19004.55	0.0	279.0	373.0	979.0	203229.0
$wurd	15629.05	0.0	252.0	393.0	1006.0	203209.0
$wurde	15629.05	0.0	252.0	393.0	1006.0	203209.0
urd	15629.05	0.0	252.0	393.0	1006.0	203209.0
urde	15629.05	0.0	252.0	393.0	1006.0	203209.0
wurd	15629.05	0.0	252.0	393.0	1006.0	203209.0
wurde	15629.05	0.0	252.0	393.0	1006.0	203209.0
$wur	15214.88	0.0	252.0	410.0	1006.0	203192.0
wur	15027.26	0.0	252.0	418.0	1006.0	203184.0
$wu	13526.43	0.0	256.0	509.0	1002.0	203093.0
ar@	13413.96	0.0	279.0	634.0	979.0	202968.0
wu	12730.54	0.0	256.0	555.0	1002.0	203047.0
$war	11250.2	0.0	286.0	848.0	972.0	202754.0
war	10526.66	0.0	286.0	922.0	972.0	202680.0
rde@	9782.8	0.0	247.0	726.0	1011.0	202876.0
de@	5244.88	0.0	256.0	1612.0	1002.0	201990.0
$wa	5132.48	0.0	286.0	2068.0	972.0	201534.0
ar	4102.33	0.0	286.0	2590.0	972.0	201012.0
rde	3977.52	0.0	281.0	2578.0	977.0	201024.0
wa	3962.28	0.0	287.0	2698.0	971.0	200904.0
$w	3421.92	0.0	603.0	12478.0	655.0	191124.0
ur	3366.65	0.0	254.0	2484.0	1004.0	201118.0
rd	2575.51	0.0	281.0	3872.0	977.0	199730.0
eriet@	1087.96	1.3643309780469353e-238	9.0	3.0	1249.0	203599.0
riet@	811.49	1.7152902657233102e-178	9.0	7.0	1249.0	203595.0
$gerie	492.51	4.0492975455315246e-109	9.0	17.0	1249.0	203585.0
eriet	492.51	4.0492975455315246e-109	9.0	17.0	1249.0	203585.0
geriet	492.51	4.0492975455315246e-109	9.0	17.0	1249.0	203585.0
gerie	424.47	2.5914390499432313e-94	9.0	21.0	1249.0	203581.0
riet	410.21	3.299821216495573e-91	9.0	22.0	1249.0	203580.0
r@	399.37	7.556786519203051e-89	379.0	22709.0	879.0	180893.0
$fand	389.38	1.1291353550970475e-86	14.0	63.0	1244.0	203539.0
erie	384.27	1.459783047551841e-85	9.0	24.0	1249.0	203578.0
$begri	361.31	1.463388638618968e-80	9.0	26.0	1249.0	203576.0
begri	361.31	1.463388638618968e-80	9.0	26.0	1249.0	203576.0
begrif	361.31	1.463388638618968e-80	9.0	26.0	1249.0	203576.0
egri	361.31	1.463388638618968e-80	9.0	26.0	1249.0	203576.0
egrif	361.31	1.463388638618968e-80	9.0	26.0	1249.0	203576.0
egriff	361.31	1.463388638618968e-80	9.0	26.0	1249.0	203576.0
$fan	354.67	4.0812780924822073e-79	14.0	70.0	1244.0	203532.0
$word	349.04	6.874968575342696e-78	29.0	311.0	1229.0	203291.0
$worde	349.04	6.874968575342696e-78	29.0	311.0	1229.0	203291.0
iet@	340.82	4.228770470161146e-76	9.0	28.0	1249.0	203574.0
de	333.72	1.48941344472546e-74	327.0	19884.0	931.0	183718.0
dicht@	323.69	2.274105886817308e-72	2.0	0.0	1256.0	203602.0
$fand@	290.81	3.318721092523675e-65	9.0	34.0	1249.0	203568.0
$kam@	263.24	3.37671111783482e-59	19.0	178.0	1239.0	203424.0
